pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
168.07,-102.11,180.0,bottom,R303,,,R_0402_1005Metric,470k,smt
182.14,-114.16,180.0,bottom,R304,,,R_0402_1005Metric,4.7k,smt
168.07,-103.1,180.0,bottom,R305,,,R_0402_1005Metric,470k,smt
183.1,-108.66,90.0,bottom,R306,,,R_0402_1005Metric,470k,smt
145.63,-109.09,180.0,bottom,R307,,,R_0402_1005Metric,470k,smt
145.18,-94.62,90.0,bottom,R308,,,R_0402_1005Metric,10,smt
155.26,-109.0,180.0,bottom,R309,,,R_0402_1005Metric,470k,smt
137.27,-53.01,90.0,top,R31,,,R_0402_1005Metric,300,smt
151.58,-94.9,90.0,bottom,R310,,,R_0402_1005Metric,100k,smt
157.68,-109.13,180.0,bottom,R311,,,R_0402_1005Metric,470k,smt
161.62,-109.21,180.0,bottom,R312,,,R_0402_1005Metric,47k,smt
155.49,-95.05,90.0,bottom,R313,,,R_0805_2012Metric,300,smt
140.22,-105.3,90.0,bottom,R314,,,R_0402_1005Metric,470k,smt
148.59,-109.17,180.0,bottom,R315,,,R_0402_1005Metric,470k,smt
128.17,-104.44,90.0,bottom,R316,,,R_0402_1005Metric,1k,smt
121.18,-104.51,90.0,bottom,R317,,,R_0402_1005Metric,33,smt
122.18,-104.51,90.0,bottom,R318,,,R_0402_1005Metric,33,smt
124.22,-104.51,90.0,bottom,R319,,,R_0402_1005Metric,1k,smt
133.47,-50.94,90.0,top,R32,,,R_0402_1005Metric,2.2k,smt
133.88,-104.53,90.0,bottom,R320,,,R_0402_1005Metric,10k,smt
130.27,-104.44,90.0,bottom,R321,,,R_0402_1005Metric,100k,smt
119.12,-104.51,90.0,bottom,R322,,,R_0402_1005Metric,33,smt
129.23,-104.44,90.0,bottom,R323,,,R_0402_1005Metric,1k,smt
120.06,-104.51,90.0,bottom,R324,,,R_0402_1005Metric,33,smt
137.88,-114.16,90.0,bottom,R325,,,R_0402_1005Metric,10k,smt
123.23,-104.51,-90.0,bottom,R326,,,R_0402_1005Metric,33,smt
138.67,-102.98,90.0,bottom,R327,,,R_0402_1005Metric,470k,smt
104.04,-92.56,90.0,bottom,R328,,,R_0402_1005Metric,4.7k,smt
107.09,-92.56,90.0,bottom,R329,,,R_0402_1005Metric,33,smt
137.46,-49.4,90.0,top,R33,,,R_0402_1005Metric,470k,smt
102.23,-89.78,90.0,bottom,R330,,,R_0402_1005Metric,4.7k,smt
103.69,-95.89,90.0,bottom,R331,,,R_0402_1005Metric,4.7k,smt
91.21,-90.32,90.0,bottom,R332,,,R_0402_1005Metric,33,smt
106.09,-92.56,90.0,bottom,R333,,,R_0402_1005Metric,33,smt
106.85,-89.51,90.0,bottom,R334,,,R_0402_1005Metric,33,smt
105.93,-89.51,90.0,bottom,R335,,,R_0402_1005Metric,33,smt
101.91,-92.56,90.0,bottom,R336,,,R_0402_1005Metric,4.7k,smt
107.84,-89.51,90.0,bottom,R337,,,R_0402_1005Metric,33,smt
106.91,-95.89,90.0,bottom,R338,,,R_0402_1005Metric,33,smt
103.01,-92.56,90.0,bottom,R339,,,R_0402_1005Metric,4.7k,smt
127.24,-48.12,0.0,top,R34,,,R_0402_1005Metric,1k,smt
90.21,-90.32,90.0,bottom,R340,,,R_0402_1005Metric,33,smt
94.31,-103.73,90.0,bottom,R341,,,R_0402_1005Metric,33,smt
108.88,-95.89,90.0,bottom,R342,,,R_0402_1005Metric,33,smt
108.87,-92.56,90.0,bottom,R343,,,R_0402_1005Metric,33,smt
98.0,-91.6,90.0,bottom,R344,,,R_0402_1005Metric,DNP,smt
105.9,-95.89,90.0,bottom,R345,,,R_0402_1005Metric,33,smt
107.91,-95.89,90.0,bottom,R346,,,R_0402_1005Metric,33,smt
108.87,-89.51,90.0,bottom,R347,,,R_0402_1005Metric,33,smt
93.11,-103.73,90.0,bottom,R348,,,R_0402_1005Metric,33,smt
102.24,-99.99,90.0,bottom,R349,,,R_0402_1005Metric,100k,smt
139.73,-50.17,90.0,top,R35,,,R_0402_1005Metric,100k,smt
95.61,-104.08,90.0,bottom,R350,,,R_0402_1005Metric,33,smt
104.85,-95.89,90.0,bottom,R351,,,R_0402_1005Metric,4.7k,smt
105.02,-92.56,90.0,bottom,R352,,,R_0402_1005Metric,33,smt
